ETF,Share Price ($),Dividend Per Share ($),Dividend Yield (%)
1,4.32,0.28,6.49
2,15.38,0.92,6.02
3,25.25,1.43,5.66
4,21.28,1.13,5.31
5,698.75,36.88,5.28
6,120.55,6.22,5.16
7,23.00,1.09,4.74
8,13.34,0.62,4.66
9,24.82,1.15,4.63
10,22.96,1.04,4.53
11,78.51,3.21,4.09
12,24.22,0.99,4.08
13,8.70,0.35,4.02
14,15.08,0.58,3.86
15,23.44,0.90,3.84
16,22.81,0.87,3.80
17,22.80,0.84,3.70
18,113.84,4.21,3.69
19,13.62,0.49,3.60
20,22.86,0.82,3.58
21,15.58,0.56,3.57
43,47.58,1.30,2.73
44,18.43,0.49,2.64
45,27.78,0.73,2.63
46,30.10,0.76,2.52
22,121.33,4.16,3.43
23,15.27,0.51,3.34
24,8.70,0.29,3.30
25,45.40,1.50,3.30
26,23.82,0.78,3.28
27,19.58,0.64,3.26
28,136.94,4.41,3.22
29,83.57,2.65,3.17
30,6.44,0.20,3.12
31,13.50,0.42,3.07
32,47.47,1.45,3.06
33,30.28,0.92,3.03
34,14.56,0.43,2.94
35,36.06,1.06,2.93
36,14.26,0.41,2.90
37,369.35,10.56,2.86
38,7.07,0.20,2.83
39,20.12,0.57,2.82
40,1.00,0.03,2.81
41,104.15,2.91,2.79
42,32.40,0.89,2.75
47,26.55,0.66,2.49
48,19.53,0.46,2.35
49,27.43,0.62,2.26
50,30.33,0.62,2.04
